"","Financial.Year","Geocode","Force.Name","Region","Sex","Ethnic.Group..self.defined.","Age.group","Reason.for.arrest..offence.group.","Arrests"
"1455","2018/19","E23000027","Hertfordshire","Eastern","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1456","2018/19","E23000027","Hertfordshire","Eastern","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," 2 "
"1457","2018/19","E23000027","Hertfordshire","Eastern","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 4 "
"1458","2018/19","E23000027","Hertfordshire","Eastern","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 22 "
"1459","2018/19","E23000027","Hertfordshire","Eastern","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1460","2018/19","E23000027","Hertfordshire","Eastern","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1461","2018/19","E23000012","Humberside","Yorkshire and the Humber","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1462","2018/19","E23000012","Humberside","Yorkshire and the Humber","Female","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," - "
"1463","2018/19","E23000012","Humberside","Yorkshire and the Humber","Female","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," - "
"1464","2018/19","E23000012","Humberside","Yorkshire and the Humber","Female","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1465","2018/19","E23000012","Humberside","Yorkshire and the Humber","Female","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1466","2018/19","E23000012","Humberside","Yorkshire and the Humber","Male","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
"1467","2018/19","E23000012","Humberside","Yorkshire and the Humber","Male","Black or Black British","18 - 20 years","2015/16 onwards - Sexual offences"," 1 "
"1468","2018/19","E23000012","Humberside","Yorkshire and the Humber","Male","Black or Black British","21 years and over","2015/16 onwards - Sexual offences"," 11 "
"1469","2018/19","E23000012","Humberside","Yorkshire and the Humber","Male","Black or Black British","Under 10 years","2015/16 onwards - Sexual offences"," - "
"1470","2018/19","E23000012","Humberside","Yorkshire and the Humber","Male","Black or Black British","Unknown","2015/16 onwards - Sexual offences"," - "
"1471","2018/19","E23000032","Kent","South East","Female","Black or Black British","10 - 17 years","2015/16 onwards - Sexual offences"," - "
